time,north_bering_sst,south_bering_sst,west_aleutians_sst,central_aleutians_sst,east_aleutians_sst,west_gulf_sst,central_gulf_sst,east_gulf_sst,north_bering_sst_stdev,south_bering_sst_stdev,west_aleutian_sst_stdev,central_aleutian_sst_stdev,east_aleutians_sst_stdev,west_gulf_sst_stdev,central_gulf_sst_stdev,east_gulf_sst_stdev,north_bering_sst_n,south_bering_sst_n,west_aleutian_sst_n,central_aleutian_sst_n,east_aleutian_sst_n,west_gulf_sst_n,central_gulf_sst_n,east_gulf_sst_n
UTC,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,,,,,,,,
1987-10-17T00:00:00Z,4.1743083,6.050236,6.9743853,6.530551,6.7001796,7.66272,8.562113,9.698616,1.8566327,0.8365419,0.64838994,0.7531997,0.80341095,0.8365009,0.69193023,0.8051819,24194,13041,15055,11381,11129,10888,22828,17557
1987-11-16T00:00:00Z,2.0417807,4.843704,4.741083,5.241397,5.477797,6.2994766,6.758217,8.029672,1.9673285,1.0551615,0.8420766,0.9228525,0.8702968,0.94303143,0.9115451,1.200969,10821,9365,7717,8232,10467,9366,16616,12999
1987-12-17T00:00:00Z,0.483445,2.7737772,3.6097453,3.9105194,4.1441603,4.3190074,4.9154687,6.5702066,1.3076321,1.1175888,0.6556019,0.663763,0.6987581,0.46480685,0.77255833,0.7716874,13045,15750,9226,10648,6622,14284,21872,25502
1988-01-17T00:00:00Z,0.05053003,2.4606054,2.216354,2.9470294,3.3696675,3.5597591,4.310293,5.903544,1.4204178,1.0266105,0.45171472,0.5272218,0.47416556,0.5757344,0.89766794,0.9515336,15584,12224,11346,15922,14828,9635,18961,21653
1988-02-16T00:00:00Z,-0.28644338,1.8092515,1.7469432,2.5528417,2.974458,3.285043,4.079626,5.370227,0.89874727,1.0404094,0.5101216,0.58464026,0.51632994,0.58402467,1.0160518,0.69260687,8047,11063,4302,3431,6595,7682,9257,17309
1988-03-17T00:00:00Z,0.9430263,1.5103176,1.4650784,2.4311368,2.6003368,3.061146,3.76916,5.1423335,1.0849371,1.0778273,0.36405224,0.5593546,0.5402564,0.50311536,0.7185479,0.8561388,4256,18708,11612,10811,7926,14790,17417,15182
1988-04-16T00:00:00Z,-0.991212,0.47128072,1.754816,2.6026065,2.6770837,2.7757733,3.9263365,5.2634387,0.9006848,1.3821654,0.39945832,0.5723553,0.5161525,0.58230716,0.7632352,0.7113008,8746,17092,11740,4838,6467,12111,23281,21342
1988-05-17T00:00:00Z,0.028558746,2.3251534,2.3736014,2.8294666,3.0034041,3.9418418,5.401167,6.2780375,1.3786511,1.3741008,0.83898395,1.4494797,1.1525271,1.1060052,1.493374,1.4847933,34581,17897,10707,3749,6404,13329,21793,28398
1988-06-16T00:00:00Z,2.0592437,4.0754495,3.1905832,4.80406,4.4855647,6.452633,7.2293854,8.35178,2.1940503,1.619852,1.1112586,1.606567,1.3840659,1.2358043,1.2386899,1.3035896,45035,24167,6137,4655,6437,21162,30062,25573
1988-07-17T00:00:00Z,6.172377,6.727159,6.1887054,5.8088937,6.1151333,8.624698,10.586297,12.1435375,2.1140735,1.5363346,1.3780128,0.78925437,0.91834694,1.3312244,1.5265514,0.84251523,48063,23792,10985,4031,4796,9231,21133,19452
1988-08-17T00:00:00Z,7.7100616,7.776097,8.0354805,7.2590017,7.6970143,10.765312,11.367407,12.354371,2.0347564,1.6116203,1.486891,1.4543393,1.6521212,0.99921364,0.94876313,0.9304603,37906,20314,19271,15565,14135,10913,31548,17583
1988-09-16T00:00:00Z,7.1922183,8.677792,8.516565,8.160011,8.650702,8.997904,9.840055,11.626705,2.2052307,0.95959395,0.9301791,1.2664918,1.0479796,1.0988957,0.7738481,0.6618728,32010,13995,17164,9604,4017,13584,31875,27611
1988-10-17T00:00:00Z,5.3374066,6.442805,7.603405,6.845224,7.2085934,7.827462,8.285914,9.020118,1.7759106,0.965846,0.69729376,0.8046762,0.76876247,0.7458505,0.5818882,0.8054137,24826,14856,19216,13681,7528,9878,25805,13373
1988-11-16T00:00:00Z,1.8358077,4.1785574,5.364211,5.3293004,4.986359,5.9024787,6.871084,7.889906,1.7669253,0.972729,0.87718743,0.93180704,0.8265531,0.8812807,1.1364714,1.1132975,11552,8319,14953,12924,8962,8937,17633,14374
